labels	dialog_state	sent	utterance	context	Emoberta_softmax	VAD_personality	dialog_state_sum
1	[0, 1, 0, 0, 0]	 Well, what happened?  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)  Ooooohh!  My God.  Are you sure?	 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)	 Well, what happened? Ooooohh! My God. Are you sure?	[[0.4672359824180603, 0.08142130821943283, 0.35810980200767517, 0.021464984863996506, 0.039447933435440063, 0.002325281500816345, 0.029994569718837738], [0.9439407587051392, 0.009912675246596336, 0.0009611707646399736, 0.00736604630947113, 0.030944079160690308, 0.003158285515382886, 0.003716879291459918], [0.007014797069132328, 0.045792046934366226, 0.9153781533241272, 0.01486747246235609, 0.005113945808261633, 0.0024348502047359943, 0.009398664347827435], [0.04781937226653099, 0.11296823620796204, 0.22360940277576447, 0.0892055556178093, 0.22380881011486053, 0.021010318771004677, 0.28157833218574524], [0.5721369385719299, 0.10020317882299423, 0.24515286087989807, 0.03096705861389637, 0.017303965985774994, 0.0021074856631457806, 0.03212848678231239]]	[0.4279528571428571, 0.32495428571428564, 0.5932585714285713, 0.19787212857142858, 0.0302006428571428]	1
1	[0, 0, 0, 0]	 (to Chandler) Anything but stew.  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.  Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?  (to Ross and Monica) What if Joey were president?	<pad>	 (to Chandler) Anything but stew. All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him. Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad? (to Ross and Monica) What if Joey were president?	[[0.8904304504394531, 0.06623367965221405, 0.0010717838304117322, 0.021958108991384506, 0.01015178207308054, 0.00888090580701828, 0.0012733271578326821], [0.9707538485527039, 0.011315250769257545, 0.0004628491587936878, 0.011135140433907509, 0.00229415250942111, 0.0019697342067956924, 0.0020689673256129026], [0.5716694593429565, 0.2588943541049957, 0.010667741298675537, 0.05255943909287453, 0.00980669166892767, 0.08231371641159058, 0.014088578522205353], [0.8881018757820129, 0.06407710909843445, 0.013180459849536419, 0.01794014498591423, 0.010565959848463535, 0.0017687019426375628, 0.004365903325378895]]	[0.0, 0.0, 0.0, 0.0, 0.0]	0
1	[1, 0, 1]	 Hey pal.  Ahhhh-gaaaahhh. Eddie what're you still doin' here?  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!	 Hey pal. Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!	 Ahhhh-gaaaahhh. Eddie what're you still doin' here?	[[0.907916784286499, 0.027048641815781593, 0.0009570745169185102, 0.014564148150384426, 0.04598698765039444, 0.002765635261312127, 0.0007607412408106029], [0.014718812890350819, 0.03599516674876213, 0.9082048535346985, 0.023015961050987244, 0.007651334162801504, 0.005331494379788637, 0.0050824545323848724], [0.005563034676015377, 0.8781729936599731, 0.10234028846025467, 0.008714328519999981, 0.0018855154048651457, 0.002176326932385564, 0.0011476045474410057]]	[0.5589706666666666, 0.38661866666666667, 0.6373526666666666, 0.16447567999999999, 0.04703106666666662]	2
1	[0, 0, 0]	 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.  Oh my God.  Ah, and I mean, he's going out with her? He can not persue this.	<pad>	 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore. Oh my God. Ah, and I mean, he's going out with her? He can not persue this.	[[0.048404231667518616, 0.207899808883667, 0.23132073879241943, 0.13703110814094543, 0.03994430974125862, 0.3088105022907257, 0.026589274406433105], [0.011959190480411053, 0.061498526483774185, 0.7112572193145752, 0.03761705383658409, 0.07334358990192413, 0.018156012520194054, 0.08616849780082703], [0.008915557526051998, 0.02280934900045395, 0.1983594447374344, 0.19038176536560059, 0.1815645843744278, 0.1869623064994812, 0.21100693941116333]]	[0.48680749999999995, 0.31747000000000003, 0.55425, 0.13314852500000005, 0.01474512499999997]	0
0	[0, 0, 0, 0, 0, 1, 0]	 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.  Alright, that sounds like a two person job. [they walk into Rachel's bedroom]  Well, my goodness, what was that?  Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet.  You thought I was Rachel?  Yes because uh, you look so young.  And because you're both, you know, white women.	 Yes because uh, you look so young.	 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed. Alright, that sounds like a two person job. [they walk into Rachel's bedroom] Well, my goodness, what was that? Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet. You thought I was Rachel? And because you're both, you know, white women.	[[0.9901187419891357, 0.0034655386116355658, 0.0002550749049987644, 0.003890761872753501, 0.0013255116064101458, 0.00047337249270640314, 0.00047091784654185176], [0.9623308181762695, 0.028409849852323532, 0.0011827927082777023, 0.005232381168752909, 0.0008196916314773262, 0.0011539040133357048, 0.0008705353830009699], [0.00966593250632286, 0.022846130654215813, 0.9331271648406982, 0.012106026522815228, 0.00652489997446537, 0.00440871762111783, 0.011321136727929115], [0.05421349033713341, 0.22485612332820892, 0.0410475954413414, 0.026768870651721954, 0.6272626519203186, 0.006439314689487219, 0.019411955028772354], [0.5052177309989929, 0.0709475502371788, 0.33994200825691223, 0.05304068326950073, 0.018317362293601036, 0.0018148436211049557, 0.01071978360414505], [0.7026812434196472, 0.11343695223331451, 0.11147358268499374, 0.00831486377865076, 0.040789585560560226, 0.0026788131799548864, 0.020624855533242226], [0.9161098599433899, 0.007467154413461685, 0.0019516230095177889, 0.0630512461066246, 0.006188717670738697, 0.0024804212152957916, 0.002750811167061329]]	[0.5525699999999999, 0.3701428571428571, 0.6267671428571429, 0.1547576142857143, 0.03127949999999996]	1
0	[0, 0, 0, 0, 0]	 Oh my God, you guys are selling the entertainment center?  Why? I love that thing.  You want it?  Oh no.  Ahh, Gepeto, $5,000 dollars? Are you insane?	<pad>	 Oh my God, you guys are selling the entertainment center? Why? I love that thing. You want it? Oh no. Ahh, Gepeto, $5,000 dollars? Are you insane?	[[0.0022420466411858797, 0.009266280569136143, 0.9505549073219299, 0.01289401762187481, 0.01604507304728031, 0.004650149494409561, 0.004347557667642832], [0.018402215093374252, 0.9490579962730408, 0.017103027552366257, 0.008044114336371422, 0.0045797694474458694, 0.0018578710732981563, 0.0009550253162160516], [0.9043573141098022, 0.04136968404054642, 0.014958564192056656, 0.033218417316675186, 0.0036796480417251587, 0.0008335927268490195, 0.0015827713068574667], [0.15244115889072418, 0.059301119297742844, 0.027050860226154327, 0.08298242837190628, 0.4538387358188629, 0.12493930011987686, 0.09944645315408707], [0.004237808752804995, 0.021366141736507416, 0.8954086303710938, 0.06389359384775162, 0.006720263510942459, 0.006146152503788471, 0.0022273969370871782]]	[0.49587272727272735, 0.36907818181818186, 0.6545245454545455, 0.20760290909090914, 0.03901090909090904]	0
1	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]	 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.  Oh my God, Phoebe.  No, not Phoebe, Dr. Philange. Oh no! You have it too!  Hello? What kind of bitch hangs up on a doctor!  Hey.  Hey.  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.  I know. How could we have let this happen?  Seven times!  Ugh! Well, y'know, we were away...  In a foreign, romantic country...  I blame London.  Bad London! (Takes a spoon and smacks the turkey.)  So look umm, while we're st-still in London, I mean, we can keep doing it right?	 Hey. I know. How could we have let this happen? Ugh! Well, y'know, we were away... I blame London. So look umm, while we're st-still in London, I mean, we can keep doing it right?	 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own. Oh my God, Phoebe. No, not Phoebe, Dr. Philange. Oh no! You have it too! Hello? What kind of bitch hangs up on a doctor! Hey. Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship. Seven times! In a foreign, romantic country... Bad London! (Takes a spoon and smacks the turkey.)	[[0.8901686072349548, 0.02860753983259201, 0.0024119289591908455, 0.021319832652807236, 0.029202163219451904, 0.008632673881947994, 0.01965734362602234], [0.00800926610827446, 0.08544308692216873, 0.6847696900367737, 0.08607947826385498, 0.08982298523187637, 0.008650836534798145, 0.03722468763589859], [0.13568225502967834, 0.24859075248241425, 0.28631508350372314, 0.21259459853172302, 0.05023347958922386, 0.009963943623006344, 0.056619931012392044], [0.002281744498759508, 0.009124476462602615, 0.03783617168664932, 0.8315520286560059, 0.005871500354260206, 0.107981838285923, 0.005352288484573364], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.008295981213450432, 0.007334137801080942, 0.00801884289830923, 0.009916499257087708, 0.8868469595909119, 0.004528972785919905, 0.07505867630243301], [0.016444841399788857, 0.026983918622136116, 0.012399476021528244, 0.009774331003427505, 0.9100440740585327, 0.006094209384173155, 0.01825910434126854], [0.059266120195388794, 0.18751029670238495, 0.2789417803287506, 0.4143597185611725, 0.02701929770410061, 0.01694577746093273, 0.015957094728946686], [0.10564028471708298, 0.05734807997941971, 0.012898431159555912, 0.029749102890491486, 0.7403930425643921, 0.01562868431210518, 0.038342367857694626], [0.5065497159957886, 0.38522428274154663, 0.007871391251683235, 0.049949366599321365, 0.03680283948779106, 0.005395310465246439, 0.00820705946534872], [0.6263476014137268, 0.08535049110651016, 0.0017914439085870981, 0.20682293176651, 0.043487317860126495, 0.03128129616379738, 0.004918936174362898], [0.048320088535547256, 0.8922821879386902, 0.005238222423940897, 0.047274377197027206, 0.0025860932655632496, 0.0024815958458930254, 0.0018175431760028005], [0.8708509206771851, 0.08158640563488007, 0.0019006289076060057, 0.007849049754440784, 0.017188213765621185, 0.0008580632274970412, 0.019766854122281075]]	[0.4498005405405407, 0.32811189189189194, 0.5752943243243244, 0.17492230810810802, 0.03417802702702705]	5
1	[0, 0, 0, 0]	 I'm so sorry, you guys. I didn't mean to bring you down.  No, you were right. I don't have a plan. (There's a knock on the door.)  (yelling from outside) Pizza guy!  Thank God. Food. (She goes to answer the door.)	<pad>	 I'm so sorry, you guys. I didn't mean to bring you down. No, you were right. I don't have a plan. (There's a knock on the door.) (yelling from outside) Pizza guy! Thank God. Food. (She goes to answer the door.)	[[0.01436122227460146, 0.0080094700679183, 0.0007076837355270982, 0.007479033432900906, 0.9644874334335327, 0.0016339925350621343, 0.003321222960948944], [0.632416307926178, 0.1522740125656128, 0.0033500296995043755, 0.02855120785534382, 0.16704639792442322, 0.007355509791523218, 0.009006578475236893], [0.076785609126091, 0.798576295375824, 0.06829489022493362, 0.03974762558937073, 0.0052145691588521, 0.0017856528284028172, 0.009595352225005627], [0.45638468861579895, 0.16628219187259674, 0.02046436443924904, 0.07368256151676178, 0.12251782417297363, 0.022520657628774643, 0.1381477415561676]]	[0.5626749999999999, 0.39767, 0.6832149999999999, 0.19253225000000004, 0.04095625000000003]	0
1	[0, 1, 0]	 Oh, it's your audition from this morning. Can I use the phone again?  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.  Come on baby, come on!	 Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.	 Oh, it's your audition from this morning. Can I use the phone again? Come on baby, come on!	[[0.9627845287322998, 0.008112129755318165, 0.0020798752084374428, 0.021442435681819916, 0.0013665042351931334, 0.0016176162753254175, 0.0025968533009290695], [0.9555373787879944, 0.03232807666063309, 0.00030502426670864224, 0.006472935434430838, 0.0035532291512936354, 0.001079825102351606, 0.0007234443328343332], [0.08104848116636276, 0.26875248551368713, 0.049128200858831406, 0.23031353950500488, 0.21157340705394745, 0.009647650644183159, 0.14953617751598358]]	[0.48313000000000006, 0.39475249999999995, 0.738695, 0.2749783499999999, 0.04264299999999993]	1
0	[0, 0, 0, 0, 1, 0]	 You know, it still smells like monkey in there.  That saves us a conversation.  Well, listen, this has been great but I'm officially wiped.  Me too, we should get goin'.  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.  Rachel, that's all we do.	 No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.	 You know, it still smells like monkey in there. That saves us a conversation. Well, listen, this has been great but I'm officially wiped. Me too, we should get goin'. Rachel, that's all we do.	[[0.07121997326612473, 0.026017917320132256, 0.009654711000621319, 0.017848698422312737, 0.029466429725289345, 0.8286015391349792, 0.017190713435411453], [0.9032973051071167, 0.06731194257736206, 0.0006835128297097981, 0.0193825401365757, 0.003353641601279378, 0.003930056467652321, 0.002040836727246642], [0.9093613028526306, 0.03601747378706932, 0.0013503512600436807, 0.009781268425285816, 0.035663582384586334, 0.004975153133273125, 0.0028508349787443876], [0.9442685842514038, 0.03673307225108147, 0.0011098494287580252, 0.0055905417539179325, 0.008779489435255527, 0.0019114866154268384, 0.0016069733537733555], [0.7126198410987854, 0.10530664771795273, 0.001968712778761983, 0.023743432015180588, 0.14032438397407532, 0.006120848003774881, 0.009916095063090324], [0.9493395090103149, 0.02283375896513462, 0.0005432553007267416, 0.01493163127452135, 0.009828826412558556, 0.001773263793438673, 0.0007497133919969201]]	[0.48539575757575754, 0.36351818181818174, 0.6383524242424241, 0.2030609151515151, 0.04229730303030299]	1
